season_id,episode,gender,game,winner,loser
s25_free_agents,1,,Balls In,Frank Fox,Chet Cannon
s25_free_agents,50px|link=LaToya JacksonLaToya,,,LaToya Jackson,Jemmye Carroll
s25_free_agents,2,,Wrecking Wall,Jonna Mannion,Emilee Fitzpatrick
s25_free_agents,50px|link=Dustin ZitoDustin,,,Dustin Zito,Cohutta Grindstaff
s25_free_agents,50px|link=Dustin ZitoDustin,,,Dustin Zito,Laurel Stucky
s25_free_agents,50px|link=Nia MooreNia,,,Cara Maria Sorbello,Nia Moore
s25_free_agents,4,,Oppenheimer,Cara Maria Sorbello,LaToya Jackson
s25_free_agents,50px|link=Brandon NelsonBrandon,,,Zach Nichols,Brandon Nelson
s25_free_agents,5,,Balls In,Laurel Stucky,Jasmine Reynaud
s25_free_agents,50px|link=Johnny BananasBananas,,,Johnny Bananas,Isaac Stout
s25_free_agents,6,,Looper,Jordan Wiseley,Brandon Swift
s25_free_agents,50px|link=Devyn SimoneDevyn,,,Theresa Jones,Camila Nakagawa
s25_free_agents,7,,Wrecking Wall,Aneesa Ferreira,Jonna Mannion
s25_free_agents,50px|link=Johnny ReillyJohnny,,,Johnny Bananas,Jordan Wiseley
s25_free_agents,8,,Oppenheimer,Cohutta Grindstaff,Preston Roberson-Charles
s25_free_agents,50px|link=Aneesa FerreiraAneesa,,,Laurel Stucky,Aneesa Ferreira
s25_free_agents,9,,Balls In,Cara Maria Sorbello,Jessica McCain
s25_free_agents,50px|link=CT Tamburello 50px|link=Zach NicholsCT & Zach,,,Leroy Garrett,Cohutta Grindstaff
s25_free_agents,10/11,,Wrecking Wall,CT Tamburello,Leroy Garrett
s25_free_agents,50px|link=Cara Maria SorbelloCara Maria,,,Cara Maria Sorbello,Johnny Bananas
s25_free_agents,50px|link=Cara Maria SorbelloCara Maria,,,Cara Maria Sorbello,Nany González
s25_free_agents,11,,Puzzle Pyramid,Laurel Stucky,Theresa Jones
