season_id,episode,ep_ord,player_a,player_b,weight,event_type,format
s05_battle_of_the_seasons,1,1,Danny Roberts,Beth Stolarczyk,1.0,elimination,individual
s05_battle_of_the_seasons,1,1,Danny Roberts,Jon Brennan,1.0,elimination,individual
s05_battle_of_the_seasons,1,1,Kelley Limp,Beth Stolarczyk,1.0,elimination,individual
s05_battle_of_the_seasons,1,1,Kelley Limp,Jon Brennan,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Chadwick Pelletier 50px|link=Piggy ThomasChadwick & Piggy,50,Veronica Portillo,Holly Brentson,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Chadwick Pelletier 50px|link=Piggy ThomasChadwick & Piggy,50,Veronica Portillo,Theo von Kurnatowski,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Chadwick Pelletier 50px|link=Piggy ThomasChadwick & Piggy,50,Yes Duffy,Holly Brentson,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Chadwick Pelletier 50px|link=Piggy ThomasChadwick & Piggy,50,Yes Duffy,Theo von Kurnatowski,1.0,elimination,individual
s05_battle_of_the_seasons,3/4,3,Holly Brentson,Chadwick Pelletier,1.0,elimination,individual
s05_battle_of_the_seasons,3/4,3,Holly Brentson,Piggy Thomas,1.0,elimination,individual
s05_battle_of_the_seasons,3/4,3,Theo von Kurnatowski,Chadwick Pelletier,1.0,elimination,individual
s05_battle_of_the_seasons,3/4,3,Theo von Kurnatowski,Piggy Thomas,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Mike Johnson,Lindsay Brien,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Mike Johnson,Stephen Williams,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Sharon Gitau,Lindsay Brien,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Sharon Gitau,Stephen Williams,1.0,elimination,individual
s05_battle_of_the_seasons,5/6,5,Elka Walker,Lindsay Brien,1.0,elimination,individual
s05_battle_of_the_seasons,5/6,5,Elka Walker,Stephen Williams,1.0,elimination,individual
s05_battle_of_the_seasons,5/6,5,Sean Duffy,Lindsay Brien,1.0,elimination,individual
s05_battle_of_the_seasons,5/6,5,Sean Duffy,Stephen Williams,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Belou Den Tex,Danny Roberts,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Belou Den Tex,Kelley Limp,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Chris Melling,Danny Roberts,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Chris Melling,Kelley Limp,1.0,elimination,individual
s05_battle_of_the_seasons,6,6,Elka Walker,Flora Alekseyeva,1.0,elimination,individual
s05_battle_of_the_seasons,6,6,Elka Walker,Mike Lambert,1.0,elimination,individual
s05_battle_of_the_seasons,6,6,Sean Duffy,Flora Alekseyeva,1.0,elimination,individual
s05_battle_of_the_seasons,6,6,Sean Duffy,Mike Lambert,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Adam Larson,Holly Brentson,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Adam Larson,Theo von Kurnatowski,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Jisela Delgado,Holly Brentson,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Dan Setzler 50px|link=Tara McDanielDan & Tara,50,Jisela Delgado,Theo von Kurnatowski,1.0,elimination,individual
s05_battle_of_the_seasons,7/8,7,Holly Brentson,Holly Shand,1.0,elimination,individual
s05_battle_of_the_seasons,7/8,7,Holly Brentson,Josh Florence,1.0,elimination,individual
s05_battle_of_the_seasons,7/8,7,Theo von Kurnatowski,Holly Shand,1.0,elimination,individual
s05_battle_of_the_seasons,7/8,7,Theo von Kurnatowski,Josh Florence,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Becky Blasband,Holly Brentson,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Becky Blasband,Theo von Kurnatowski,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Norman Korpi,Holly Brentson,1.0,elimination,individual
s05_battle_of_the_seasons,50px|link=Coral Smith 50px|link=Mike MizaninCoral & Mike M.,50,Norman Korpi,Theo von Kurnatowski,1.0,elimination,individual
s06_battle_of_the_sexes,3,3,Ruthie Alcaide,Beth Stolarczyk,1.0,elimination,individual
s06_battle_of_the_sexes,4,4,Ruthie Alcaide,Gladys Sanabria,1.0,elimination,individual
s06_battle_of_the_sexes,5,5,Jamie Murray,David Broom,1.0,elimination,individual
s06_battle_of_the_sexes,7,7,Ruthie Alcaide,Amaya Brecher,1.0,elimination,individual
s06_battle_of_the_sexes,8,8,Theo Gantt,Dan Renzi,1.0,elimination,individual
s06_battle_of_the_sexes,9,9,Mark Long,Dan Renzi,1.0,elimination,individual
s06_battle_of_the_sexes,10,10,Veronica Portillo,Tonya Cooley,1.0,elimination,individual
s06_battle_of_the_sexes,12,12,Mark Long,Syrus Yarbrough,1.0,elimination,individual
s06_battle_of_the_sexes,13,13,Ruthie Alcaide,Ayanna Mackins,1.0,elimination,individual
s06_battle_of_the_sexes,14,14,Mark Long,Eric Nies,1.0,elimination,individual
s06_battle_of_the_sexes,15,15,Ruthie Alcaide,Genesis Moss,1.0,elimination,individual
s06_battle_of_the_sexes,16,16,Ruthie Alcaide,Genesis Moss,1.0,elimination,individual
s06_battle_of_the_sexes,17,17,Ruthie Alcaide,Melissa Howard,1.0,elimination,individual
s07_the_gauntlet,1,1,Sarah Greyson,David Broom,1.0,elimination,individual
s07_the_gauntlet,2,2,Katie Cooley,Montana McGlynn,1.0,elimination,individual
s07_the_gauntlet,3,3,Steve Meinke,Tonya Cooley,1.0,elimination,individual
s07_the_gauntlet,4,4,Rachel Braband,Katie Cooley,1.0,elimination,individual
s07_the_gauntlet,5,5,Coral Smith,Tina Barta,1.0,elimination,individual
s07_the_gauntlet,6,6,Sarah Greyson,Matt Smith,1.0,elimination,individual
s07_the_gauntlet,7,7,Cara Zavaleta,Elka Walker,1.0,elimination,individual
s07_the_gauntlet,8,8,Trishelle Cannatella,Steve Meinke,1.0,elimination,individual
s07_the_gauntlet,9,9,Sarah Greyson,Trishelle Cannatella,1.0,elimination,individual
s07_the_gauntlet,10,10,Sarah Greyson,Rachel Braband,1.0,elimination,individual
s07_the_gauntlet,11,11,Alton Williams,Laterrian Wallace,1.0,elimination,individual
s07_the_gauntlet,12,12,Mike Mizanin,Abram Boise,1.0,elimination,individual
s07_the_gauntlet,13,13,Sarah Greyson,Irulan Wilson,1.0,elimination,individual
s07_the_gauntlet,14/15,14,Cara Zavaleta,Theo Gantt,1.0,elimination,individual
s08_the_inferno,1,1,Jeremy Blossom,Timmy Beggy,1.0,elimination,individual
s08_the_inferno,2,2,Jeremy Blossom,Ace Amerson,1.0,elimination,individual
s08_the_inferno,3,3,Holly Shand,Katie Cooley,1.0,elimination,individual
s08_the_inferno,4,4,Holly Shand,Trishelle Cannatella,1.0,elimination,individual
s08_the_inferno,5,5,Abram Boise,Jeremy Blossom,1.0,elimination,individual
s08_the_inferno,6,6,Mike Mizanin,Jeremy Blossom,1.0,elimination,individual
s08_the_inferno,7,7,Christena Pyle,Katie Cooley,1.0,elimination,individual
s08_the_inferno,8,8,Christena Pyle,Mallory Snyder,1.0,elimination,individual
s08_the_inferno,9,9,Abram Boise,Shane Landrum,1.0,elimination,individual
s08_the_inferno,10,10,CT Tamburello,Shane Landrum,1.0,elimination,individual
s08_the_inferno,11,11,Katie Cooley,Veronica Portillo,1.0,elimination,individual
s08_the_inferno,12,12,Katie Cooley,Julie Stoffer,1.0,elimination,individual
s08_the_inferno,13,13,Darrell Taylor,Timmy Beggy,1.0,elimination,individual
s08_the_inferno,14/15,14,Kendal Sheppard,Leah Gillingwater,1.0,elimination,individual
