season_id,episode,gender,game,winner,loser
s05_battle_of_the_seasons,1,,,Danny Roberts,Beth Stolarczyk
s05_battle_of_the_seasons,1,,,Danny Roberts,Jon Brennan
s05_battle_of_the_seasons,1,,,Kelley Limp,Beth Stolarczyk
s05_battle_of_the_seasons,1,,,Kelley Limp,Jon Brennan
s05_battle_of_the_seasons,1,,,Holly Brentson,Veronica Portillo
s05_battle_of_the_seasons,1,,,Holly Brentson,Yes Duffy
s05_battle_of_the_seasons,1,,,Theo von Kurnatowski,Veronica Portillo
s05_battle_of_the_seasons,1,,,Theo von Kurnatowski,Yes Duffy
s05_battle_of_the_seasons,3/4,,,Holly Brentson,Chadwick Pelletier
s05_battle_of_the_seasons,3/4,,,Holly Brentson,Piggy Thomas
s05_battle_of_the_seasons,3/4,,,Theo von Kurnatowski,Chadwick Pelletier
s05_battle_of_the_seasons,3/4,,,Theo von Kurnatowski,Piggy Thomas
s05_battle_of_the_seasons,3/4,,,Lindsay Brien,Mike Johnson
s05_battle_of_the_seasons,3/4,,,Lindsay Brien,Sharon Gitau
s05_battle_of_the_seasons,3/4,,,Stephen Williams,Mike Johnson
s05_battle_of_the_seasons,3/4,,,Stephen Williams,Sharon Gitau
s05_battle_of_the_seasons,5/6,,,Elka Walker,Lindsay Brien
s05_battle_of_the_seasons,5/6,,,Elka Walker,Stephen Williams
s05_battle_of_the_seasons,5/6,,,Sean Duffy,Lindsay Brien
s05_battle_of_the_seasons,5/6,,,Sean Duffy,Stephen Williams
s05_battle_of_the_seasons,5/6,,,Holly Brentson,Belou Den Tex
s05_battle_of_the_seasons,5/6,,,Holly Brentson,Chris Melling
s05_battle_of_the_seasons,5/6,,,Theo von Kurnatowski,Belou Den Tex
s05_battle_of_the_seasons,5/6,,,Theo von Kurnatowski,Chris Melling
s05_battle_of_the_seasons,6,,,Elka Walker,Flora Alekseyeva
s05_battle_of_the_seasons,6,,,Elka Walker,Mike Lambert
s05_battle_of_the_seasons,6,,,Sean Duffy,Flora Alekseyeva
s05_battle_of_the_seasons,6,,,Sean Duffy,Mike Lambert
s05_battle_of_the_seasons,6,,,Holly Brentson,Adam Larson
s05_battle_of_the_seasons,6,,,Holly Brentson,Jisela Delgado
s05_battle_of_the_seasons,6,,,Theo von Kurnatowski,Adam Larson
s05_battle_of_the_seasons,6,,,Theo von Kurnatowski,Jisela Delgado
s05_battle_of_the_seasons,7/8,,,Holly Brentson,Holly Shand
s05_battle_of_the_seasons,7/8,,,Holly Brentson,Josh Florence
s05_battle_of_the_seasons,7/8,,,Theo von Kurnatowski,Holly Shand
s05_battle_of_the_seasons,7/8,,,Theo von Kurnatowski,Josh Florence
s05_battle_of_the_seasons,7/8,,,Elka Walker,Becky Blasband
s05_battle_of_the_seasons,7/8,,,Elka Walker,Norman Korpi
s05_battle_of_the_seasons,7/8,,,Sean Duffy,Becky Blasband
s05_battle_of_the_seasons,7/8,,,Sean Duffy,Norman Korpi
