season_id,episode,challenge,format,role,winner
s05_battle_of_the_seasons,1,Hang Man,pair,prize,Holly Brentson
s05_battle_of_the_seasons,1,Hang Man,pair,prize,Theo von Kurnatowski
s05_battle_of_the_seasons,1,Hang Man,pair,safety,Becky Blasband
s05_battle_of_the_seasons,1,Hang Man,pair,safety,Norman Korpi
s05_battle_of_the_seasons,1,,pair,prize,Emily Bailey
s05_battle_of_the_seasons,1,,pair,prize,Timmy Beggy
s05_battle_of_the_seasons,3/4,Musical Inner-Tube Tango,pair,prize,Lindsay Brien
s05_battle_of_the_seasons,3/4,Musical Inner-Tube Tango,pair,prize,Stephen Williams
s05_battle_of_the_seasons,3/4,Musical Inner-Tube Tango,pair,safety,Dan Setzler
s05_battle_of_the_seasons,3/4,Musical Inner-Tube Tango,pair,safety,Tara McDaniel
s05_battle_of_the_seasons,3/4,,pair,prize,Elka Walker
s05_battle_of_the_seasons,3/4,,pair,prize,Sean Duffy
s05_battle_of_the_seasons,5/6,Vertical Limit,pair,prize,Danny Roberts
s05_battle_of_the_seasons,5/6,Vertical Limit,pair,prize,Kelley Limp
s05_battle_of_the_seasons,5/6,Vertical Limit,pair,safety,Coral Smith
s05_battle_of_the_seasons,5/6,Vertical Limit,pair,safety,Mike Mizanin
s05_battle_of_the_seasons,5/6,,pair,prize,Emily Bailey
s05_battle_of_the_seasons,5/6,,pair,prize,Timmy Beggy
s05_battle_of_the_seasons,6,Slam Dunk,pair,prize,Holly Brentson
s05_battle_of_the_seasons,6,Slam Dunk,pair,prize,Theo von Kurnatowski
s05_battle_of_the_seasons,6,Slam Dunk,pair,safety,Coral Smith
s05_battle_of_the_seasons,6,Slam Dunk,pair,safety,Mike Mizanin
s05_battle_of_the_seasons,6,,pair,prize,Emily Bailey
s05_battle_of_the_seasons,6,,pair,prize,Timmy Beggy
s05_battle_of_the_seasons,7/8,Ladder of Doom,pair,safety,Dan Setzler
s05_battle_of_the_seasons,7/8,Ladder of Doom,pair,safety,Tara McDaniel
s05_battle_of_the_seasons,7/8,,pair,prize,Danny Roberts
s05_battle_of_the_seasons,7/8,,pair,prize,Kelley Limp
